"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
206349439432;;;;"Сливочное масло";"190 г. Масло «Традиционное» «Молоковъ» сливочное";"Без ЗМЖ, ГОСТ, 82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ООО «Молоковь», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />ККал: 748<br /><br />Срок годности: 5 месяцев.<br />Условия хранения: хранить при температуре от -18 °С до -14 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor3135-3665-4639-b738-623532393131/80475622.png;187.50;;;;;mB1izrk6GFLM7gSm5jmh;;190;0;0;0
843924194212;;;;"Сливочное масло";"160 г. Спред «Мечеть» «Халяль» растительно-сливочный";"53 %, 150 г.";"Цена указана за 150 г. продукции.<br />Вес указан с упаковкой (160 г.).<br /><br />Производитель: ООО «Молочный край», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г. <br />жир: 72,5 г.<br />углеводы: 1,4 г.<br />кКал: 662<br /><br />Срок годности: 1 месяц.<br />Условия хранения: хранить при температуре от -3 °С до<br />+5 °C.<br /><br />Состав: Заменитель молочного жира, вода питьевая, масло сливочное, молоко сухое обезжиренное, эмульгатор Е471, консервант сорбат калия, краситель В-каротин, ароматизатор идентичный натуральному Сливочное масло.";https://static.tildacdn.com/stor3162-3562-4061-b337-363237376363/63320549.png;55.50;;;;;ZXpmrYpaUGFFUmXH9kDU;;160;0;0;0
885328883802;;;;"Сливочное масло";"390 г. Масло «Сливочное» «ЭкоМилк» высший сорт";"Без ЗМЖ, 82,5 %, 380 г.";"Цена указана за 380 г. продукции.<br />Вес указан с упаковкой (390 г.).<br /><br />Производитель: ЗАО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,6 г.<br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре 3 (2) °С и относительной влажности воздуха не более 90 %.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor3136-6631-4632-b037-646562373836/40725477.png;387.50;;;;;LIxfAPXJleM5r8H9Rrst;;390;0;0;0
295501002272;;;;"Сливочное масло";"185 г. Масло «Крестьянское» «Светаево» сладко-сливочное";"72,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (185 г.).<br /><br />Производитель: ЗАО «Озерецкий Молочный Комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г. <br />жир: 72,5 г.<br />углеводы: 1,4 г.<br />кКал: 660<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре от 2 °С до 6 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor3435-3565-4331-b734-373036656162/61581173.png;203.00;;;;;Ab8Mnv4mh8EGdZa3ti2p;;185;0;0;0
661860647892;;;;"Сливочное масло";"190 г. Масло «Крестьянское» «Первый Вкус» сливочное, высший сорт";"Без ЗМЖ, 72,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: АО «Группа Компаний «Российское Молоко», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 1,0 г.<br />жир: 72,5 г. <br />углеводы: 1,4 г.<br />кКал: 662<br /><br />Срок годности: 35 суток.<br />Условия хранения: хранить при температуре от 1 °С до 5 °С и относительной влажности воздуха не более 90 %.<br /><br />Состав: Пастеризованные сливки из коровьего молока.";https://static.tildacdn.com/stor3235-3433-4734-b863-633236656338/59224072.png;280.00;;;;;ZEFjvGco2FpIkvOodtM8;;190;0;0;0
267458445742;;;;"Сливочное масло";"310 г. Масло «Традиционное» «ЕлМай» сливочное";"Без ЗМЖ, 82,5 %, 300 г.";"Цена указана за 300 г. продукции.<br />Вес указан с упаковкой (310 г.).<br /><br />Производитель: СПССК «Елмай», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,6 г.<br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре от 2 °С до 6 °C.<br /><br />Состав: Пастеризованные сливки. Содержит лактозу.";https://static.tildacdn.com/stor3634-6361-4231-b139-636562336466/16406029.png;242.50;;;;;4dBphFaihrdE8Z88TLls;;310;0;0;0
942249295182;;;;"Сливочное масло";"185 г. Масло «Простоквашино» сливочное, высший сорт";"82 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (185 г.).<br /><br />Производитель: АО «Данон Россия», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,6 г.<br />жир: 82,0 г.<br />углеводы: 0,9 г.<br />кКал: 744,0<br /><br />Срок годности: 35 суток.<br />Условия хранения: хранить при температуре от 1 °С до 5 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor3066-3666-4430-b766-316433323537/49435222.png;268.40;;;;;nlmhzvJNYtXoUMnAMhVf;;185;0;0;0
542269342692;;;;"Сливочное масло";"190 г. Масло «Традиционное» «Своё-Наше» сливочное";"Без ЗМЖ, 82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ООО «СН-продукт», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,6 г.<br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 35 суток.<br />Условия хранения: хранить при температуре не выше 5 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6330-3137-4361-a131-616162353035/99330555.png;195.00;;;;;EseRS5MkVrAK4pSf96SR;;190;0;0;0
779541986802;;;;"Сливочное масло";"210 г. Масло сливочное МОЛСБЫТ Традиционное";"82,5%, без змж, 200 г.";"Состав: Сливки";https://static.tildacdn.com/stor3634-3962-4138-b437-656437353133/51487610.png;148.50;;;;;Bgj5XXEdnbF4PyZlr1xH;;210;0;0;0
560648381302;;;;"Сливочное масло";"185 г. Масло «Крестьянское» «Село Зелёное» сливочное";"Высший сорт, без змж, 72,5 %, 175 г.";"Цена указана за 175 г. продукции.<br />Вес указан с упаковкой (185 г.).<br /><br />Производитель: ОАО «Милком», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г. <br />жир: 73,0 г. <br />углеводы: 1,0 г.<br />кКал: 662,0<br /><br />Срок годности: 6 месяцев.<br />Условия хранения: хранить при температуре -16 (₫2) °C.<br /><br />Состав: Сливки пастеризованные.";https://static.tildacdn.com/stor3066-6231-4435-b539-383433353962/25463872.png;238.00;;;;;bMVBUgfJpHfLC22RCo8A;;185;0;0;0
